state,year,count,population,crude_rate_100k
Tennessee,2012,306,1668708,18.34
Texas,2012,1519,7752093,19.590000000000003
Utah,2012,182,977592,18.62
Vermont,2012,21,148122,14.180000000000001
Virginia,2012,313,2100329,14.9
Washington,2012,342,1771021,19.310000000000002
West Virginia,2012,75,433159,17.31
Wisconsin,2012,292,1487603,19.630000000000003
Wyoming,2012,25,151943,16.45
Alabama,2013,217,1252409,17.330000000000002
Alaska,2013,37,207699,17.81
Arizona,2013,300,1787090,16.790000000000003
Arkansas,2013,131,788196,16.62
California,2013,1885,10281356,18.330000000000002
Colorado,2013,252,1383194,18.22
Connecticut,2013,180,900260,19.990000000000002
Delaware,2013,29,230950,12.56
District of Columbia,2013,33,133659,24.69
Florida,2013,854,4504408,18.96
Georgia,2013,511,2776752,18.400000000000002
Hawaii,2013,64,345374,18.53
Idaho,2013,89,477668,18.630000000000003
